code,YT_name,spot_name,Album,year_released,standard_name,SP_listens_June102026,YT_views_june102026
BB_23,* Daddy Yankee & Bad Bunny - Vuelve (Video Oficial),* Vuelve,single,29 September 2017,Vuelve,"672,345,816","860,442,846"
BB_24,"* Farruko, Bad Bunny, Rvssian - Krippy Kush (Official Video)",* Krippy Kush,,,,"271,408,553","844,969,981"
BB_25,Bad Bunny - Moscow Mule (Video Oficial) | Un Verano Sin Ti,Moscow Mule,Un Verano Sin Ti,6 May 2022,Moscow Mule,"1,621,958,781","795,633,957"
BB_26,BAD BUNNY x ROSALÍA - LA NOCHE DE ANOCHE (Video Oficial),LA NOCHE DE ANOCHE,El Último Tour Del Mundo,14 February 2021,La Noche de Anoche,"1,180,749,649","721,156,799"
BB_27,* Ozuna x Bad Bunny x Wisin x Almighty X Dj Luian X Mambo Kingz - Solita,* Solita,single,19 January 2018,Solita,"708,052,978","720,050,180"
BB_28,"* Aventura, Bad Bunny - Volví (Video Oficial)",* Volví,single,3 August 2021,Volví,"951,305,246","686,608,169"
BB_29,BAD BUNNY - SI ESTUVIÉSEMOS JUNTOS | X100PRE (Video Oficial),Si Estuviésemos Juntos,X 100pre,14 February 2019,Si Estuviésemos Juntos,"1,215,402,638","670,807,662"
BB_30,"Me Mata - Bad Bunny x Arcangel x Bryant Myers x Almighty x Noriel x Baby 
Rasta x Brytiago 🏌",Me Mata,,,,"468,136,541","667,307,211"
BB_31,BAD BUNNY - YO PERREO SOLA | YHLQMDLG (Video Oficial),Yo Perreo Sola,YHLQMDLG,27 March 2020,Yo perreo sola,"926,072,868","661,521,044"
BB_32,BAD BUNNY - ESTAMOS BIEN | X100PRE (Video Oficial),Estamos Bien,X 100pre,28 June 2019,Estamos Bien,"509,961,588","641,272,118"
BB_33,* Rvssian - Si Tu Lo Dejas FT Bad Bunny X Farruko X Nicky Jam X King Kosa,* Si Tu Lo Dejas,,,,"181,457,131","635,488,259"
